loss,mean_reward,std_reward,mean_advantage,mean_ref_logp,mean_approx_kl,mean_response_length,grad_norm,epoch,round,step,group_size
-0.09888468123972416,0.5940171480178833,0.27206486463546753,-1.8339891028062993e-07,-2.983633279800415,-0.007665836252272129,32.19231033325195,18.5,1,1,1,26
0.19137440994381905,0.5457516312599182,0.2631683051586151,5.6098489409350805e-08,-2.9720823764801025,-0.017587346956133842,32.882354736328125,16.75,1,2,2,34
0.07093274034559727,0.5904762148857117,0.25582653284072876,-5.44956755277326e-08,-2.933206558227539,-0.022488852962851524,33.17142868041992,18.0,1,3,3,35
0.17238863185048103,0.6444444060325623,0.25724083185195923,1.9073488033427566e-07,-2.767116069793701,-0.01694626919925213,33.5,14.4375,1,4,4,30
0.7478022910654545,0.686274528503418,0.2933177351951599,-5.2592334043310984e-08,-3.0095973014831543,-0.01907123625278473,33.235294342041016,26.875,1,5,5,17
-0.3240080028772354,0.6168582439422607,0.28676825761795044,-1.644266056644028e-08,-2.8802387714385986,-0.021129874512553215,33.27586364746094,24.625,1,6,6,29
0.11732223816215992,0.641269862651825,0.26035618782043457,-6.130763807732365e-08,-2.955758810043335,-0.019068554043769836,33.5428581237793,16.625,1,7,7,35
0.29249486117623746,0.6700336933135986,0.2769142687320709,-5.779844514108845e-08,-2.8937160968780518,-0.024108396843075752,33.787879943847656,17.0,1,8,8,33
0.06273221969604492,0.6500000357627869,0.326362282037735,-7.152557657263969e-08,-2.9261951446533203,-0.025364328175783157,34.20000076293945,18.25,1,9,9,20
0.1308657005429268,0.6774193048477173,0.23503364622592926,2.268821930329068e-07,-2.781402826309204,-0.023040223866701126,34.09677505493164,14.75,1,10,10,31
0.06174817681312561,0.6748970746994019,0.24739322066307068,2.207579399282622e-07,-2.8980846405029297,-0.0227741040289402,33.77777862548828,15.5,1,11,11,27
0.05892417952418327,0.5902777910232544,0.244440495967865,-3.725290298461914e-08,-2.9199776649475098,-0.02829630672931671,33.21875,14.125,1,12,12,32
0.12107565253973007,0.6625514626502991,0.25025179982185364,-4.856674706843478e-08,-2.923454523086548,-0.024350514635443687,34.0,16.75,1,13,13,27
0.09599746018648148,0.6701388955116272,0.25682711601257324,2.2351741790771484e-08,-2.9397549629211426,-0.02697768807411194,33.53125,16.0,1,14,14,32
-0.1907830834388733,0.6206896305084229,0.28217554092407227,1.0687729457004025e-07,-2.8854148387908936,-0.037343189120292664,33.482757568359375,20.625,1,15,15,29
-0.027163948863744736,0.6407407522201538,0.24289633333683014,-1.5894572769070692e-08,-2.7682743072509766,-0.028712425380945206,33.93333435058594,15.75,1,16,16,30
0.1537663652561605,0.5250000357627869,0.27101489901542664,-9.536743306171047e-08,-2.7324330806732178,-0.04139532521367073,32.5,15.0,1,17,17,40
0.4558173455297947,0.6010101437568665,0.28160813450813293,-1.0837208463954084e-07,-2.7423629760742188,-0.03857727721333504,32.272727966308594,20.875,1,18,18,22
0.2160668484866619,0.6962963342666626,0.21068832278251648,-1.5099844574706367e-07,-2.9755475521087646,-0.036277495324611664,34.13333511352539,15.75,1,19,19,30
0.10196047695353627,0.5925925970077515,0.2511973977088928,2.6490953430879927e-08,-2.744084596633911,-0.04639635235071182,31.77777862548828,20.5,1,20,20,27
0.35710867680609226,0.6078431606292725,0.27247923612594604,-7.012311442622376e-08,-2.7753093242645264,-0.0428292341530323,32.52941131591797,18.875,1,21,21,34
0.20292304130271077,0.6790123581886292,0.228978231549263,-3.5321271241173235e-08,-2.868504524230957,-0.04384459927678108,33.11111068725586,18.625,1,22,22,27
-0.0785997910425067,0.5915032625198364,0.2783922553062439,6.486387604809352e-08,-2.654179811477661,-0.05365901440382004,32.82352828979492,18.75,1,23,23,34
